imei,latitude,longitude,coordinates,datastatus,datastatus_description,hearttime_date,hearttime_time,hearttime_unix,TimeSinceUpdate,TimeAgo,status
355139085087770,10.620982,103.537527,"10.620982,103.537527",4,Offline,2025-05-03,15:12:30,1746259950,215d2h58min,7m ago,success
355139085087861,10.629293,103.520264,"10.629293,103.520264",4,Offline,2025-02-08,17:28:15,1739010495,299d0h42min,9m ago,success
355139085088554,11.545785,104.899222,"11.545785,104.899222",4,Offline,2025-05-22,17:25:48,1747909548,196d0h44min,6m ago,success
355139085087721,11.594253,104.859533,"11.594253,104.859533",4,Offline,2025-02-27,15:57:42,1740646662,280d2h12min,9m ago,success
355139085088224,10.623188,103.529209,"10.623188,103.529209",4,Offline,2025-12-04,18:00:16,1764846016,0d0h10min,10min ago,success
355139085087895,10.625981,103.52402,"10.625981,103.52402",4,Offline,2025-06-03,10:02:18,1748919738,184d8h8min,6m ago,success
355139085085642,11.52221,104.918229,"11.52221,104.918229",4,Offline,2025-12-02,17:24:21,1764671061,2d0h46min,2d ago,success
355139085089701,10.60992,103.528988,"10.60992,103.528988",4,Offline,2025-02-01,01:57:19,1738349839,306d16h13min,10m ago,success
355139085080197,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,4355d19h10min,11y ago,success
355139085090048,10.623084,103.532844,"10.623084,103.532844",4,Offline,2024-10-17,14:02:22,1729148542,413d4h8min,1y ago,success
355139085090634,10.623728,103.532959,"10.623728,103.532959",4,Offline,2025-10-09,14:37:21,1759995441,56d3h33min,1m ago,success
355139085089271,10.594689,103.539436,"10.594689,103.539436",4,Offline,2025-12-04,14:37:27,1764833847,0d3h33min,3h ago,success
355139085087820,10.663838,103.521127,"10.663838,103.521127",2,Online,2025-12-04,18:10:05,1764846605,0d0h0min,0min ago,success
355139085090410,10.641553,103.549685,"10.641553,103.549685",4,Offline,2025-12-04,16:19:04,1764839944,0d1h51min,1h ago,success
355139085090436,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,4355d19h10min,11y ago,success
355139085090212,12.025122,105.249849,"12.025122,105.249849",4,Offline,2025-12-03,15:26:56,1764750416,1d2h43min,1d ago,success
355139085089792,10.624714,103.524633,"10.624714,103.524633",2,Online,2025-12-04,18:05:09,1764846309,0d0h5min,5min ago,success
355139085089743,10.624584,103.536153,"10.624584,103.536153",4,Offline,2025-12-04,17:55:53,1764845753,0d0h14min,14min ago,success
355139085086616,13.676516,102.562113,"13.676516,102.562113",4,Offline,2025-12-04,12:13:36,1764825216,0d5h57min,5h ago,success
355139085104617,10.524019,104.293512,"10.524019,104.293512",4,Offline,2025-02-28,21:06:12,1740751572,278d21h4min,9m ago,success
355139085089776,10.611387,103.524963,"10.611387,103.524963",2,Online,2025-12-04,18:09:52,1764846592,0d0h0min,0min ago,success
355139085085030,11.145491,105.680705,"11.145491,105.680705",2,Online,2025-12-04,18:09:53,1764846593,0d0h0min,0min ago,success
355139085090220,11.867963,105.600567,"11.867963,105.600567",2,Online,2025-12-04,18:01:04,1764846064,0d0h9min,9min ago,success
355139085094206,11.545725,104.899222,"11.545725,104.899222",4,Offline,2025-03-18,12:33:00,1742275980,261d5h37min,8m ago,success
355139085085006,11.545758,104.899078,"11.545758,104.899078",4,Offline,2025-07-18,12:00:37,1752814837,139d6h10min,4m ago,success
355139085089024,10.573187,103.55801,"10.573187,103.55801",2,Online,2025-12-04,18:08:01,1764846481,0d0h2min,2min ago,success
355139085087788,10.642934,103.537228,"10.642934,103.537228",4,Offline,2025-12-04,17:49:11,1764845351,0d0h21min,21min ago,success
355139085088000,10.620185,103.530276,"10.620185,103.530276",2,Online,2025-12-04,18:10:15,1764846615,0d0h0min,0min ago,success
355139085086020,10.661162,103.524426,"10.661162,103.524426",2,Online,2025-12-04,18:09:05,1764846545,0d0h1min,1min ago,success
355139085096706,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,4355d19h10min,11y ago,success
355139085086970,10.62671,103.496902,"10.62671,103.496902",4,Offline,2025-12-04,17:24:16,1764843856,0d0h46min,46min ago,success
355139085094826,11.675894,105.971844,"11.675894,105.971844",4,Offline,2025-12-04,17:52:15,1764845535,0d0h18min,18min ago,success
355139085096573,11.064185,106.136533,"11.064185,106.136533",2,Online,2025-12-04,18:08:29,1764846509,0d0h2min,2min ago,success
355139085087622,10.618322,103.531845,"10.618322,103.531845",2,Online,2025-12-04,18:01:17,1764846077,0d0h9min,9min ago,success
355139085085857,11.530879,104.923269,"11.530879,104.923269",2,Online,2025-12-04,18:07:57,1764846477,0d0h2min,2min ago,success
355139085101050,11.74938,105.526551,"11.74938,105.526551",4,Offline,2025-06-21,00:14:33,1750439673,166d17h56min,5m ago,success
355139085079082,11.742946,105.952828,"11.742946,105.952828",2,Online,2025-12-04,18:09:53,1764846593,0d0h0min,0min ago,success
355139085101605,10.631283,103.503692,"10.631283,103.503692",2,Online,2025-12-04,18:10:06,1764846606,0d0h0min,0min ago,success
355139085086103,10.623299,103.529009,"10.623299,103.529009",2,Online,2025-12-04,18:08:02,1764846482,0d0h2min,2min ago,success
355139085085170,10.631614,103.527461,"10.631614,103.527461",2,Online,2025-12-04,18:09:02,1764846542,0d0h1min,1min ago,success
355139085086244,11.637669,105.424949,"11.637669,105.424949",2,Online,2025-12-04,18:09:37,1764846577,0d0h1min,1min ago,success
355139085087531,11.529644,105.661785,"11.529644,105.661785",4,Offline,2025-12-03,19:41:48,1764765708,0d22h28min,22h ago,success
355139085101779,11.53201,104.867512,"11.53201,104.867512",2,Online,2025-12-04,18:08:19,1764846499,0d0h2min,2min ago,success
355139085101514,11.536498,104.899149,"11.536498,104.899149",2,Online,2025-12-04,18:09:06,1764846546,0d0h1min,1min ago,success
355139085087457,10.623222,103.530431,"10.623222,103.530431",4,Offline,2025-12-04,06:43:39,1764805419,0d11h27min,11h ago,success
355139085096912,11.524517,104.827119,"11.524517,104.827119",4,Offline,2025-05-31,22:05:25,1748703925,186d20h5min,6m ago,success
355139085086798,10.632382,103.52742,"10.632382,103.52742",4,Offline,2025-12-04,17:33:53,1764844433,0d0h36min,36min ago,success
355139085086954,11.621436,104.890921,"11.621436,104.890921",2,Online,2025-12-04,18:10:17,1764846617,0d0h0min,0min ago,success
355139085086095,13.64784,102.5692,"13.64784,102.5692",4,Offline,2024-10-04,13:59:41,1728025181,426d4h10min,1y ago,success
355139085084736,11.562548,104.923324,"11.562548,104.923324",2,Online,2025-12-04,18:09:15,1764846555,0d0h1min,1min ago,success
355139084610283,11.42553,104.875872,"11.42553,104.875872",4,Offline,2025-11-25,16:47:20,1764064040,9d1h23min,9d ago,success
355139085088356,10.624839,103.52606,"10.624839,103.52606",2,Online,2025-12-04,18:10:20,1764846620,0d0h0min,0min ago,success
355139085083134,10.636865,103.55995,"10.636865,103.55995",4,Offline,2025-12-04,17:26:51,1764844011,0d0h43min,43min ago,success
355139085101308,11.551854,104.8718,"11.551854,104.8718",4,Offline,2024-09-21,10:47:22,1726890442,439d7h23min,1y ago,success
355139085085634,10.615057,103.521217,"10.615057,103.521217",2,Online,2025-12-04,18:09:29,1764846569,0d0h1min,1min ago,success
355139085095021,11.822675,104.95179,"11.822675,104.95179",2,Online,2025-12-04,18:10:03,1764846603,0d0h0min,0min ago,success
355139085087010,11.538224,104.883014,"11.538224,104.883014",4,Offline,2025-01-22,16:04:55,1737536695,316d2h5min,10m ago,success
355139085087317,11.503635,104.84529,"11.503635,104.84529",2,Online,2025-12-04,18:07:53,1764846473,0d0h2min,2min ago,success
355139085086848,11.455294,104.991854,"11.455294,104.991854",2,Online,2025-12-04,18:10:06,1764846606,0d0h0min,0min ago,success
355139085085766,11.582947,104.887483,"11.582947,104.887483",2,Online,2025-12-04,18:09:30,1764846570,0d0h1min,1min ago,success
355139085085865,11.502622,104.843498,"11.502622,104.843498",2,Online,2025-12-04,18:07:21,1764846441,0d0h3min,3min ago,success
355139085097159,11.617868,104.8804,"11.617868,104.8804",2,Online,2025-12-04,18:10:17,1764846617,0d0h0min,0min ago,success
355139085100441,11.57793,104.907089,"11.57793,104.907089",2,Online,2025-12-04,18:09:26,1764846566,0d0h1min,1min ago,success
355139085087473,12.484693,106.108,"12.484693,106.108",4,Offline,2025-10-22,06:44:17,1761090257,43d11h26min,1m ago,success
355139085080205,11.790661,106.051894,"11.790661,106.051894",2,Online,2025-12-04,18:07:44,1764846464,0d0h2min,2min ago,success
355139085083423,10.611237,103.54996,"10.611237,103.54996",4,Offline,2025-12-04,17:40:05,1764844805,0d0h30min,30min ago,success
355139084611307,11.543647,104.88107,"11.543647,104.88107",2,Online,2025-12-04,18:09:55,1764846595,0d0h0min,0min ago,success
355139085101928,11.589569,104.911963,"11.589569,104.911963",2,Online,2025-12-04,18:08:48,1764846528,0d0h1min,1min ago,success
355139085087606,11.542359,104.779495,"11.542359,104.779495",2,Online,2025-12-04,18:07:28,1764846448,0d0h3min,3min ago,success
355139085085048,11.806076,105.465527,"11.806076,105.465527",2,Online,2025-12-04,18:07:21,1764846441,0d0h3min,3min ago,success
355139085084066,13.671034,102.57797,"13.671034,102.57797",2,Online,2025-12-04,18:08:00,1764846480,0d0h2min,2min ago,success
355139084611034,11.397966,105.482213,"11.397966,105.482213",2,Online,2025-12-04,18:08:10,1764846490,0d0h2min,2min ago,success
355139085085097,13.648102,102.569366,"13.648102,102.569366",4,Offline,2024-09-16,10:26:36,1726457196,444d7h44min,1y ago,success
355139085085303,13.67848,102.565777,"13.67848,102.565777",2,Online,2025-12-04,18:10:19,1764846619,0d0h0min,0min ago,success
355139085088661,11.067039,106.147662,"11.067039,106.147662",2,Online,2025-12-04,18:09:38,1764846578,0d0h1min,1min ago,success
355139085085931,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,4355d19h10min,11y ago,success
355139085083787,10.586372,103.549483,"10.586372,103.549483",2,Online,2025-12-04,18:09:20,1764846560,0d0h1min,1min ago,success
355139085085147,13.678407,102.562937,"13.678407,102.562937",4,Offline,2025-09-10,17:35:20,1757500520,85d0h35min,2m ago,success
355139085083688,10.623367,103.534472,"10.623367,103.534472",4,Offline,2025-12-04,17:59:41,1764845981,0d0h10min,10min ago,success
355139085101746,12.360042,106.47575,"12.360042,106.47575",4,Offline,2025-03-18,17:13:59,1742292839,261d0h56min,8m ago,success
355139085085246,11.562175,104.92166,"11.562175,104.92166",2,Online,2025-12-04,18:09:35,1764846575,0d0h1min,1min ago,success
355139085087655,11.524404,104.893948,"11.524404,104.893948",2,Online,2025-12-04,18:10:10,1764846610,0d0h0min,0min ago,success
355139085088042,13.675759,102.560943,"13.675759,102.560943",4,Offline,2025-09-02,09:53:13,1756781593,93d8h17min,3m ago,success
355139085104443,11.062252,106.129899,"11.062252,106.129899",4,Offline,2025-11-18,13:58:10,1763449090,16d4h12min,16d ago,success
355139085093885,11.529698,104.897264,"11.529698,104.897264",2,Online,2025-12-04,18:07:47,1764846467,0d0h2min,2min ago,success
355139085088653,11.535463,104.879455,"11.535463,104.879455",2,Online,2025-12-04,18:03:10,1764846190,0d0h7min,7min ago,success
355139085100839,11.537307,104.883135,"11.537307,104.883135",4,Offline,2024-09-11,14:01:17,1726038077,449d4h9min,1y ago,success
355139085087648,11.533627,104.8127,"11.533627,104.8127",4,Offline,2025-08-01,16:58:27,1754042307,125d1h12min,4m ago,success
355139085086376,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,4355d19h10min,11y ago,success
355139085088372,13.676866,102.56234,"13.676866,102.56234",4,Offline,2025-09-19,16:30:27,1758274227,76d1h40min,2m ago,success
355139085087754,11.612012,102.983448,"11.612012,102.983448",2,Online,2025-12-04,18:09:23,1764846563,0d0h1min,1min ago,success
355139085086921,13.668994,102.57451,"13.668994,102.57451",4,Offline,2025-12-04,17:26:15,1764843975,0d0h44min,44min ago,success
355139085100284,13.676892,102.561703,"13.676892,102.561703",4,Offline,2025-12-04,08:51:01,1764813061,0d9h19min,9h ago,success
355139085087598,10.623745,103.53135,"10.623745,103.53135",2,Online,2025-12-04,18:01:52,1764846112,0d0h8min,8min ago,success
355139085100482,11.076184,106.169988,"11.076184,106.169988",4,Offline,2025-04-12,21:46:30,1744469190,235d20h24min,7m ago,success
355139085086111,13.65946,102.553204,"13.65946,102.553204",4,Offline,2025-12-04,15:24:42,1764836682,0d2h45min,2h ago,success
355139085087036,10.589943,103.539308,"10.589943,103.539308",2,Online,2025-12-04,18:10:13,1764846613,0d0h0min,0min ago,success
355139085089040,10.624707,103.539487,"10.624707,103.539487",4,Offline,2025-12-04,14:58:18,1764835098,0d3h12min,3h ago,success
355139085097480,11.561447,104.835835,"11.561447,104.835835",2,Online,2025-12-04,18:10:02,1764846602,0d0h0min,0min ago,success
355139085088695,11.545824,104.899297,"11.545824,104.899297",4,Offline,2025-08-30,12:14:38,1756530878,96d5h56min,3m ago,success
355139085101381,11.530984,104.864113,"11.530984,104.864113",4,Offline,2025-09-28,08:48:23,1759024103,67d9h22min,2m ago,success
